date,codneg,preabe,preult
2015-03-10,PSVM11,3.39,3.39
2015-03-11,PSVM11,3.38,3.38
2015-03-13,PSVM11,3.39,3.39
2015-03-31,PSVM11,2.0,2.0
2015-04-01,PSVM11,2.0,2.0
2015-04-02,PSVM11,2.1,2.1
2015-04-06,PSVM11,2.0,2.0
2015-04-07,PSVM11,2.1,2.3
2015-04-08,PSVM11,2.4,2.4
2015-04-14,PSVM11,2.6,2.6
2015-04-20,PSVM11,2.5,2.8
2015-04-27,PSVM11,3.0,2.8
2015-04-30,PSVM11,2.11,2.8
2015-05-04,PSVM11,2.8,2.8
2015-05-11,PSVM11,2.45,2.45
2015-05-13,PSVM11,2.95,2.85
2015-05-26,PSVM11,2.26,3.0
2015-06-01,PSVM11,2.9,2.99
2015-06-03,PSVM11,2.9,2.89
2015-06-05,WIZS3,13.6,13.9
2015-06-08,WIZS3,14.11,13.78
2015-06-09,WIZS3,13.78,13.65
2015-06-10,WIZS3,13.7,14.0
2015-06-10,PSVM11,2.4,2.85
2015-06-11,WIZS3,14.01,14.26
2015-06-11,PSVM11,2.99,2.99
2015-06-12,WIZS3,14.32,14.53
2015-06-15,WIZS3,14.51,14.64
2015-06-16,WIZS3,14.63,14.55
2015-06-17,WIZS3,14.61,14.25
2015-06-18,WIZS3,14.23,14.6
2015-06-19,WIZS3,14.58,14.7
2015-06-22,WIZS3,14.9,14.78
2015-06-23,WIZS3,14.75,14.6
2015-06-23,PSVM11,2.9,2.99
2015-06-24,WIZS3,14.65,14.51
2015-06-25,WIZS3,14.5,13.95
2015-06-26,WIZS3,13.92,13.4
2015-06-29,WIZS3,13.36,13.25
2015-06-30,WIZS3,13.25,13.56
2015-07-01,WIZS3,13.77,13.7
2015-07-01,PSVM11,2.8,2.8
2015-07-02,WIZS3,13.78,14.07
2015-07-03,WIZS3,14.05,14.2
2015-07-06,WIZS3,14.0,14.06
2015-07-07,WIZS3,14.06,14.0
2015-07-08,WIZS3,14.2,14.0
2015-07-08,PSVM11,2.03,2.8
2015-07-10,WIZS3,14.17,14.0
2015-07-13,WIZS3,14.05,14.05
2015-07-14,WIZS3,14.06,13.95
2015-07-15,WIZS3,14.0,14.05
2015-07-15,PSVM11,2.98,2.98
2015-07-16,WIZS3,14.0,14.3
2015-07-17,WIZS3,14.3,14.3
2015-07-20,WIZS3,14.21,14.1
2015-07-21,WIZS3,14.0,13.9
