date,codneg,preabe,preult
2018-01-02,AALR3,14.94,14.89
2018-01-02,AZUL4,27.0,27.15
2018-01-02,BKBR3,17.6,17.72
2018-01-02,BRDT3,17.0,17.23
2018-01-02,CAML3,7.85,7.82
2018-01-02,CRFB3,15.2,15.49
2018-01-02,IRBR3,33.45,33.71
2018-01-02,MOVI3,7.05,7.35
2018-01-02,OMGE3,17.62,17.3
2018-01-02,PARD3,33.98,33.5
2018-01-02,PSVM11,0.78,0.78
2018-01-02,WIZS3,11.79,12.15
2018-01-03,AALR3,14.89,14.96
2018-01-03,AZUL4,27.0,27.06
2018-01-03,BKBR3,17.71,17.9
2018-01-03,BRDT3,17.13,17.3
2018-01-03,CAML3,7.83,7.81
2018-01-03,CRFB3,15.49,15.39
2018-01-03,IRBR3,33.72,33.71
2018-01-03,MOVI3,7.36,7.53
2018-01-03,OMGE3,17.3,17.2
2018-01-03,PARD3,32.86,33.2
2018-01-03,WIZS3,12.35,12.05
2018-01-04,AALR3,15.0,15.09
2018-01-04,AZUL4,26.84,27.23
2018-01-04,BKBR3,17.9,17.9
2018-01-04,BRDT3,17.25,17.2
2018-01-04,CAML3,7.84,8.0
2018-01-04,CRFB3,15.41,15.11
2018-01-04,IRBR3,33.72,34.0
2018-01-04,MOVI3,7.66,7.75
2018-01-04,OMGE3,17.23,17.0
2018-01-04,PARD3,33.4,33.07
2018-01-04,PSVM11,0.78,0.78
2018-01-04,WIZS3,12.12,11.95
2018-01-05,AALR3,15.05,15.05
2018-01-05,AZUL4,27.31,27.2
2018-01-05,BKBR3,17.85,17.8
2018-01-05,BRDT3,17.18,17.5
2018-01-05,CAML3,8.01,8.18
2018-01-05,CRFB3,15.12,15.0
2018-01-05,IRBR3,33.8,34.44
2018-01-05,MOVI3,7.79,7.93
2018-01-05,OMGE3,17.02,17.3
2018-01-05,PARD3,32.6,32.38
2018-01-05,WIZS3,12.04,12.12
2018-01-08,AALR3,15.05,14.79
2018-01-08,AZUL4,27.2,26.91
2018-01-08,BKBR3,17.83,17.8
2018-01-08,BRDT3,17.42,17.4
2018-01-08,CAML3,8.2,8.17
2018-01-08,CRFB3,15.04,14.61
2018-01-08,IRBR3,34.46,35.0
2018-01-08,MOVI3,7.95,7.71
2018-01-08,OMGE3,17.37,17.2
2018-01-08,PARD3,32.38,32.0
2018-01-08,WIZS3,12.12,12.07
2018-01-09,AALR3,14.87,14.65
2018-01-09,AZUL4,26.78,26.8
2018-01-09,BKBR3,17.85,17.6
2018-01-09,BRDT3,17.4,17.4
2018-01-09,CAML3,8.16,8.15
2018-01-09,CRFB3,14.68,14.47
2018-01-09,IRBR3,35.14,34.95
2018-01-09,MOVI3,7.71,7.57
2018-01-09,OMGE3,17.11,16.83
2018-01-09,PARD3,31.77,31.8
2018-01-09,PSVM11,0.76,0.75
2018-01-09,WIZS3,12.12,11.93
2018-01-10,AALR3,14.65,14.4
2018-01-10,AZUL4,26.69,26.45
2018-01-10,BKBR3,17.5,17.6
2018-01-10,BRDT3,17.37,17.25
2018-01-10,CAML3,8.14,8.31
2018-01-10,CRFB3,14.58,14.2
2018-01-10,IRBR3,35.26,34.94
2018-01-10,MOVI3,7.55,7.61
2018-01-10,OMGE3,16.86,16.5
2018-01-10,PARD3,31.43,31.7
2018-01-10,PSVM11,0.75,0.75
2018-01-10,WIZS3,11.99,12.13
2018-01-11,AALR3,14.49,14.59
2018-01-11,AZUL4,26.45,26.55
2018-01-11,BKBR3,17.65,17.85
2018-01-11,BRDT3,17.3,17.15
2018-01-11,CAML3,8.35,8.5
2018-01-11,CRFB3,14.27,14.32
2018-01-11,IRBR3,35.0,36.0
2018-01-11,MOVI3,7.64,7.82
