data,obitosAcumulado,obitosNovos
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-01-03,0.0,0.0
2020-02-03,0.0,0.0
2020-03-03,0.0,0.0
2020-04-03,0.0,0.0
2020-05-03,0.0,0.0
2020-06-03,0.0,0.0
2020-07-03,0.0,0.0
2020-08-03,0.0,0.0
2020-09-03,0.0,0.0
2020-10-03,0.0,0.0
2020-11-03,0.0,0.0
2020-12-03,0.0,0.0
2020-03-13,0.0,0.0
2020-03-14,0.0,0.0
2020-03-15,0.0,0.0
2020-03-16,0.0,0.0
2020-03-17,1.0,1.0
2020-03-18,4.0,3.0
2020-03-19,6.0,2.0
2020-03-20,11.0,5.0
2020-03-21,18.0,7.0
2020-03-22,25.0,7.0
2020-03-23,34.0,9.0
2020-03-24,46.0,12.0
2020-03-25,57.0,11.0
2020-03-26,77.0,20.0
2020-03-27,92.0,15.0
2020-03-28,114.0,22.0
2020-03-29,136.0,22.0
2020-03-30,159.0,23.0
2020-03-31,201.0,42.0
2020-01-04,241.0,40.0
2020-02-04,299.0,58.0
2020-03-04,359.0,60.0
2020-04-04,432.0,73.0
2020-05-04,486.0,54.0
2020-06-04,553.0,67.0
2020-07-04,667.0,114.0
2020-08-04,800.0,133.0
2020-09-04,941.0,141.0
2020-10-04,1056.0,115.0
2020-11-04,1124.0,68.0
2020-12-04,1223.0,99.0
2020-04-13,1328.0,105.0
2020-04-14,1532.0,204.0
2020-04-15,1736.0,204.0
2020-04-16,1924.0,188.0
2020-04-17,2141.0,217.0
2020-04-18,2347.0,206.0
2020-04-19,2462.0,115.0
2020-04-20,2575.0,113.0
2020-04-21,2741.0,166.0
2020-04-22,2906.0,165.0
2020-04-23,3313.0,407.0
2020-04-24,3670.0,357.0
2020-04-25,4016.0,346.0
2020-04-26,4205.0,189.0
2020-04-27,4543.0,338.0
2020-04-28,5017.0,474.0
2020-04-29,5466.0,449.0
2020-04-30,5901.0,435.0
2020-01-05,6329.0,428.0
2020-02-05,6724.0,395.0
2020-03-05,7025.0,301.0
2020-04-05,7321.0,296.0
2020-05-05,7921.0,600.0
2020-06-05,8535.0,614.0
2020-07-05,9146.0,611.0
2020-08-05,9895.0,749.0
2020-09-05,10627.0,732.0
2020-10-05,11123.0,496.0
2020-11-05,11519.0,396.0
2020-12-05,12400.0,881.0
2020-05-13,13149.0,749.0
2020-05-14,13993.0,844.0
2020-05-15,14817.0,824.0
2020-05-16,15633.0,816.0
2020-05-17,16118.0,485.0
2020-05-18,16792.0,674.0
2020-05-19,17971.0,1179.0
2020-05-20,18859.0,888.0
2020-05-21,20047.0,1188.0
2020-05-22,21046.0,999.0
2020-05-23,22013.0,967.0
2020-05-24,22666.0,653.0
2020-05-25,23473.0,807.0
2020-05-26,24512.0,1039.0
2020-05-27,25598.0,1086.0
2020-05-28,26754.0,1156.0
2020-05-29,27878.0,1124.0
2020-05-30,28834.0,956.0
2020-05-31,29314.0,480.0
2020-01-06,29937.0,623.0
2020-02-06,31199.0,1262.0
2020-03-06,32548.0,1349.0
2020-04-06,34021.0,1473.0
2020-05-06,35026.0,1005.0
2020-06-06,35930.0,904.0
2020-07-06,36455.0,525.0
2020-08-06,37134.0,679.0
2020-09-06,38406.0,1272.0
2020-10-06,39680.0,1274.0
2020-11-06,40919.0,1239.0
2020-12-06,41828.0,909.0
2020-06-13,42720.0,892.0
2020-06-14,43332.0,612.0
2020-06-15,43959.0,627.0
2020-06-16,45241.0,1282.0
2020-06-17,46510.0,1269.0
2020-06-18,47748.0,1238.0
2020-06-19,48954.0,1206.0
2020-06-20,49976.0,1022.0
2020-06-21,50617.0,641.0
2020-06-22,51271.0,654.0
2020-06-23,52645.0,1374.0
2020-06-24,53830.0,1185.0
2020-06-25,54971.0,1141.0
2020-06-26,55961.0,990.0
2020-06-27,57070.0,1109.0
2020-06-28,57622.0,552.0
2020-06-29,58314.0,692.0
2020-06-30,59594.0,1280.0
2020-01-07,60632.0,1038.0
2020-02-07,61884.0,1252.0
2020-03-07,63174.0,1290.0
2020-04-07,64265.0,1091.0
2020-05-07,64867.0,602.0
2020-06-07,65487.0,620.0
2020-07-07,66741.0,1254.0
2020-08-07,67964.0,1223.0
2020-09-07,69184.0,1220.0
2020-10-07,70398.0,1214.0
2020-11-07,71469.0,1071.0
2020-12-07,72100.0,631.0
2020-07-13,72833.0,733.0
2020-07-14,74133.0,1300.0
2020-07-15,75366.0,1233.0
2020-07-16,76688.0,1322.0
2020-07-17,77851.0,1163.0
2020-07-18,78772.0,921.0
2020-07-19,79488.0,716.0
2020-07-20,80120.0,632.0
2020-07-21,81487.0,1367.0
2020-07-22,82771.0,1284.0
2020-07-23,84082.0,1311.0
2020-07-24,85238.0,1156.0
2020-07-25,86449.0,1211.0
2020-07-26,87004.0,555.0
2020-07-27,87618.0,614.0
2020-07-28,88539.0,921.0
2020-07-29,90134.0,1595.0
2020-07-30,91263.0,1129.0
2020-07-31,92475.0,1212.0
2020-01-08,93563.0,1088.0
2020-02-08,94104.0,541.0
2020-03-08,94665.0,561.0
2020-04-08,95819.0,1154.0
2020-05-08,97240.0,1421.0
2020-06-08,98493.0,1253.0
2020-07-08,99572.0,1079.0
2020-08-08,100477.0,905.0
2020-09-08,101049.0,572.0
2020-10-08,101752.0,703.0
2020-11-08,103026.0,1274.0
2020-12-08,104201.0,1175.0
2020-08-13,105463.0,1262.0
2020-08-14,106523.0,1060.0
2020-08-15,107232.0,709.0
2020-08-16,107852.0,620.0
2020-08-17,108536.0,684.0
2020-08-18,109888.0,1352.0
2020-08-19,111100.0,1212.0
2020-08-20,112304.0,1204.0
2020-08-21,113358.0,1054.0
2020-08-22,114250.0,892.0
2020-08-23,114744.0,494.0
2020-08-24,115309.0,565.0
2020-08-25,116580.0,1271.0
2020-08-26,117665.0,1085.0
2020-08-27,118649.0,984.0
2020-08-28,119504.0,855.0
2020-08-29,120462.0,958.0
2020-08-30,120828.0,366.0
2020-08-31,121381.0,553.0
2020-01-09,122596.0,1215.0
2020-02-09,123780.0,1184.0
2020-03-09,124614.0,834.0
2020-04-09,125521.0,907.0
2020-05-09,126203.0,682.0
2020-06-09,126650.0,447.0
2020-07-09,126960.0,310.0
2020-08-09,127464.0,504.0
2020-09-09,128539.0,1075.0
2020-10-09,129522.0,983.0
2020-11-09,130396.0,874.0
2020-12-09,131210.0,814.0
2020-09-13,131625.0,415.0
2020-09-14,132006.0,381.0
2020-09-15,133119.0,1113.0
2020-09-16,134106.0,987.0
2020-09-17,134935.0,829.0
2020-09-18,135793.0,858.0
2020-09-19,136532.0,739.0
2020-09-20,136895.0,363.0
2020-09-21,137272.0,377.0
2020-09-22,138108.0,836.0
2020-09-23,138977.0,869.0
2020-09-24,139808.0,831.0
2020-09-25,140537.0,729.0
2020-09-26,141406.0,869.0
2020-09-27,141741.0,335.0
2020-09-28,142058.0,317.0
2020-09-29,142921.0,863.0
2020-09-30,143952.0,1031.0
2020-01-10,144680.0,728.0
2020-02-10,145388.0,708.0
2020-03-10,145987.0,599.0
2020-04-10,146352.0,365.0
2020-05-10,146675.0,323.0
2020-06-10,147494.0,819.0
2020-07-10,148228.0,734.0
2020-08-10,148957.0,729.0
2020-09-10,149639.0,682.0
2020-10-10,150198.0,559.0
2020-11-10,150488.0,290.0
2020-12-10,150689.0,201.0
2020-10-13,150998.0,309.0
2020-10-14,151747.0,749.0
2020-10-15,152460.0,713.0
2020-10-16,153214.0,754.0
2020-10-17,153675.0,461.0
2020-10-18,153905.0,230.0
2020-10-19,154176.0,271.0
2020-10-20,154837.0,661.0
2020-10-21,155403.0,566.0
2020-10-22,155900.0,497.0
2020-10-23,156471.0,571.0
