date,codneg,preult,voltot
2021-01-04,AALR3,11.13,4458319.0
2021-01-04,AERI3,10.53,52023426.0
2021-01-04,ALPK3,9.35,441486.0
2021-01-04,AMBP3,26.85,6866895.0
2021-01-04,AVLL3,23.61,299935.0
2021-01-04,AZUL4,37.73,339322551.0
2021-01-04,BIDI4,32.21,42947278.0
2021-01-04,BKBR3,10.92,11234562.0
2021-01-04,BMGB4,6.0,25005346.0
2021-01-04,BOAS3,12.77,15770981.0
2021-01-04,BRDT3,21.85,86650201.0
2021-01-04,CAML3,10.92,12155371.0
2021-01-04,CASH3,17.06,64079318.0
2021-01-04,CEAB3,12.79,13118089.0
2021-01-04,CNTO3,28.43,42087811.0
2021-01-04,CRFB3,19.15,42361698.0
2021-01-04,CURY3,10.45,13592286.0
2021-01-04,DMVF3,13.01,5556273.0
2021-01-04,ENJU3,12.7,17286557.0
2021-01-04,GMAT3,8.35,27911948.0
2021-01-04,GNDI3,77.26,209130382.0
2021-01-04,HAPV3,15.04,127287235.0
2021-01-04,HBSA3,6.61,35844021.0
2021-01-04,IRBR3,7.89,461250769.0
2021-01-04,LAVV3,9.14,29233765.0
2021-01-04,LJQQ3,16.37,27541148.0
2021-01-04,LWSA3,80.64,170808537.0
2021-01-04,MDNE3,11.77,3178267.0
2021-01-04,MELK3,7.78,6971581.0
2021-01-04,MOVI3,20.28,31905793.0
2021-01-04,MTRE3,16.5,10507560.0
2021-01-04,NEOE3,17.76,64485443.0
2021-01-04,NGRD3,6.69,99850950.0
2021-01-04,OMGE3,40.13,23592283.0
2021-01-04,PARD3,22.39,12031079.0
2021-01-04,PETZ3,18.58,40709691.0
2021-01-04,PGMN3,9.08,5516015.0
2021-01-04,PLPL3,7.45,6309369.0
2021-01-04,PRNR3,8.79,1695559.0
2021-01-04,RDOR3,66.0,90317665.0
2021-01-04,RRRP3,36.41,12058264.0
2021-01-04,SEQL3,22.0,7049737.0
2021-01-04,SOMA3,13.15,11568960.0
2021-01-04,TFCO4,12.8,2894457.0
2021-01-04,VIVA3,28.43,29895072.0
2021-01-04,WIZS3,7.84,13533587.0
2021-01-04,PSVM11,4.2,9581.0
2021-01-05,AALR3,10.79,6042564.0
2021-01-05,AERI3,10.31,53355708.0
2021-01-05,ALPK3,9.25,504985.0
2021-01-05,AMBP3,26.59,4114548.0
2021-01-05,AVLL3,23.45,211124.0
2021-01-05,AZUL4,38.2,297314867.0
2021-01-05,BIDI4,31.44,53098759.0
2021-01-05,BKBR3,10.84,14743037.0
2021-01-05,BMGB4,5.84,17866788.0
2021-01-05,BOAS3,12.35,2563098.0
2021-01-05,BRDT3,22.1,283774604.0
2021-01-05,CAML3,11.12,17780127.0
2021-01-05,CASH3,17.51,52877271.0
2021-01-05,CEAB3,12.29,26602616.0
2021-01-05,CNTO3,27.39,33563224.0
2021-01-05,CRFB3,19.02,74976598.0
2021-01-05,CURY3,10.59,10384844.0
2021-01-05,DMVF3,12.59,3027288.0
2021-01-05,ENJU3,12.75,5168114.0
2021-01-05,GMAT3,8.35,28157797.0
2021-01-05,GNDI3,75.5,283041742.0
2021-01-05,HAPV3,14.65,129631401.0
2021-01-05,HBSA3,6.66,14873769.0
